ay,ax,time,az,vz,vy,vx,comp
-0.024,0.063,15.722611427307129,1.043,0.599,-0.168,1.022,-74.33860925930774
-0.017,-0.01,15.72296667098999,0.984,-1.186,1.127,0.322,-74.33860925930774
-0.021,0.013,15.723298788070679,0.982,-1.186,1.162,0.077,-74.33860925930774
-0.007,0.069,15.723631381988525,0.999,-0.416,1.827,-0.973,-73.76059898688369
-0.008,0.037,15.723956108093262,1.029,-0.661,0.637,-0.168,-73.76059898688369
0.032,0.022,15.724276542663574,1.032,-0.136,0.672,0.112,-73.76059898688369
-0.032,0.029,15.72462272644043,0.984,-0.451,3.017,0.637,-73.76059898688369
-0.012,0.046,15.724945545196533,0.991,-0.591,1.442,0.637,-73.76059898688369
-0.012,0.034,15.725263833999634,1.003,-0.871,1.232,-0.553,-73.76059898688369
-0.017,0.053,16.245535850524902,1.029,-0.101,0.532,0.112,-73.76059898688369
0.003,0.029,16.24808621406555,1.009,-0.381,0.322,0.532,-74.32562961163195
-0.033,0.057,16.248486518859863,1.028,-1.186,3.087,0.602,-74.60359598910631
-0.024,0.041,16.248766660690308,1.017,-0.696,1.757,0.567,-74.60359598910631
-0.013,0.026,16.249037265777588,0.985,-0.136,-2.093,-0.273,-74.60359598910631
-0.012,0.026,16.24942421913147,1.0,0.074,3.787,-0.378,-74.60359598910631
0.007,0.066,16.249775171279907,1.049,-0.556,2.982,0.182,-74.60359598910631
-0.009,0.04,16.250102758407593,1.024,-0.696,0.917,-0.063,-74.60359598910631
-0.009,0.014,16.25042176246643,0.982,-0.346,1.582,0.182,-74.60359598910631
-0.031,0.043,16.250734090805054,0.996,0.039,1.057,-0.938,-74.60359598910631
-0.005,0.061,16.25104522705078,1.046,-0.906,1.827,0.847,-74.60359598910631
-0.01,0.011,16.251651763916016,1.005,-0.066,0.392,-0.483,-74.60359598910631
0.004,0.031,16.790317058563232,0.993,-0.381,2.212,-0.378,-74.1361578677898
-0.028,0.042,16.790913105010986,1.007,-0.871,1.407,0.567,-73.94692137203795
-0.014,0.02,16.793269395828247,0.991,-1.361,1.547,-0.658,-73.94692137203795
0.007,0.042,16.793569087982178,1.026,0.074,-0.168,-1.148,-73.94692137203795
0.007,0.042,16.793822288513184,1.032,-0.066,1.127,-0.413,-73.94692137203795
-0.022,0.036,16.794060468673706,1.026,-0.626,1.022,0.847,-73.94692137203795
-0.027,0.025,16.794293642044067,0.987,-0.206,1.652,-0.588,-73.61732527299975
0.01,0.025,16.794524431228638,0.991,-0.626,3.227,-0.168,-73.61732527299975
-0.018,0.037,16.794752836227417,1.012,-1.046,-0.623,0.042,-73.61732527299975
-0.023,0.013,16.794979095458984,1.028,0.214,1.827,0.287,-73.61732527299975
-0.017,0.083,16.79520344734192,1.021,0.074,0.742,-0.343,-73.61732527299975
-0.016,0.046,17.326334238052368,1.006,-1.116,0.672,-0.133,-73.61732527299975
0.004,0.034,17.328548192977905,1.03,0.144,0.567,-1.043,-74.36480648840988
-0.007,0.023,17.3289897441864,1.005,-0.801,2.492,0.742,-74.54927207268157
-0.037,0.019,17.329339504241943,1.016,-0.801,2.492,0.217,-74.54927207268157
-0.01,0.047,17.329613208770752,1.015,-0.416,1.967,-1.323,-74.54927207268157
-0.005,0.028,17.32987141609192,0.998,-0.731,-0.448,-0.553,-74.54927207268157
-0.005,0.028,17.330127000808716,0.998,-0.731,-0.448,-0.553,-74.54927207268157
-0.027,0.034,17.33037233352661,1.03,-0.276,0.182,-0.413,-74.54927207268157
-0.012,0.04,17.330636739730835,1.041,-0.311,1.547,-0.658,-74.54927207268157
-0.013,0.01,17.330888509750366,0.983,-0.731,8.057,0.357,-74.54927207268157
-0.006,0.031,17.331137895584106,1.0,-0.906,-1.883,0.987,-74.54927207268157
-0.029,0.032,17.332175493240356,1.036,-0.031,2.072,-0.833,-74.54927207268157
0.005,-0.009,17.868507623672485,1.001,-0.381,0.042,0.182,-76.08934988530773
