comp,ax,time,ay,vx,az,vy,vz
-81.65830155585151,0.035,24.94861936569214,0.118,3.627,1.119,-9.152,6.248
-81.65830155585151,0.158,24.94906735420227,0.177,-2.078,0.86,-8.312,4.953
-81.65830155585151,0.117,24.94940686225891,0.091,-1.168,1.071,-9.012,4.813
-82.04931773619786,0.05,24.949708223342896,0.148,-3.093,0.991,-8.137,4.043
-82.04931773619786,0.146,24.950002431869507,0.152,-4.003,0.988,-7.297,1.873
-82.04931773619786,0.161,24.950283765792847,0.163,-1.168,1.059,-9.187,2.643
-82.04931773619786,0.109,24.950562238693237,0.187,0.932,1.02,-9.012,1.698
-82.04931773619786,0.088,24.950846195220947,0.26,3.277,1.025,-7.332,0.893
-82.04931773619786,0.071,24.951128482818604,0.208,1.982,0.872,-9.572,-0.087
-82.04931773619786,0.114,24.951411247253418,0.207,4.467,1.004,-12.092,0.053
-82.04931773619786,0.071,25.45909595489502,0.201,6.357,1.062,-11.777,0.333
-83.11743287471919,0.207,25.461427211761475,0.153,-3.023,0.878,0.438,9.188
-84.26782528169186,0.125,25.46197009086609,0.12,-1.168,1.098,0.228,9.153
-84.26782528169186,0.155,25.462317943572998,0.171,-0.993,0.96,-0.717,9.713
-84.26782528169186,0.177,25.46262788772583,0.11,-3.023,1.013,0.613,9.503
-84.26782528169186,0.175,25.462915658950806,0.169,-3.723,1.093,1.278,9.188
-84.26782528169186,0.143,25.463138103485107,0.152,-4.038,1.023,2.468,9.223
-84.26782528169186,0.138,25.46335005760193,0.149,-6.418,0.971,2.748,9.503
-84.26782528169186,0.169,25.46355390548706,0.108,-7.083,0.968,1.768,10.903
-84.26782528169186,0.133,25.463749647140503,0.103,-7.643,1.06,0.823,12.583
-84.26782528169186,0.161,25.463947772979736,0.117,-6.488,1.014,-0.612,14.298
-84.26782528169186,0.189,25.96957302093506,0.124,-5.753,0.948,-0.577,16.888
-84.71875937155488,0.098,25.971546411514282,0.002,-12.823,0.834,-2.852,-19.897
-84.71875937155488,0.057,25.97196340560913,0.138,-9.708,0.957,3.168,-23.852
