comp,az,vy,vx,ax,vz,time,ay
-80.19801574644708,1.023,5.268,6.392,0.041,-3.447,9.140978574752808,-0.007
-80.46153726601386,1.033,5.443,6.777,0.048,-2.642,9.141245603561401,0.004
-80.46153726601386,1.055,4.848,7.337,0.068,-0.542,9.141514301300049,0.012
-80.46153726601386,1.011,5.443,5.727,0.025,3.588,9.141784191131592,-0.018
-80.46153726601386,1.0,5.548,4.327,0.026,4.743,9.14204740524292,-0.013
-80.46153726601386,1.047,5.303,1.807,0.023,6.108,9.142311096191406,0.009
-80.46153726601386,1.007,4.883,-1.623,0.03,7.718,9.593461513519287,0.024
-84.09523890885829,0.977,-10.867,1.632,0.053,5.898,9.59402346611023,0.084
-81.57230366243076,0.942,-11.812,6.112,0.074,7.473,9.59574580192566,0.111
-81.57230366243076,0.966,-11.462,8.632,0.071,9.783,9.596005201339722,0.127
-81.57230366243076,1.013,-11.112,12.447,0.07,11.113,9.596230506896973,0.12
-81.57230366243076,1.021,-11.462,12.902,0.096,11.568,9.596444368362427,0.108
-81.57230366243076,0.999,-12.407,11.992,0.113,12.128,9.59665560722351,0.121
-81.57230366243076,0.991,-12.792,9.822,0.089,12.828,9.596864700317383,0.096
-81.57230366243076,0.989,-14.227,8.422,0.14,14.368,9.597071647644043,0.109
-81.57230366243076,0.992,-14.017,7.337,0.099,15.278,9.597270965576172,0.107
-81.57230366243076,1.005,-12.407,7.162,0.128,14.753,9.5974702835083,0.132
-83.2586826385062,0.968,-10.027,7.302,0.1,15.173,9.597667455673218,0.111
-83.2586826385062,0.991,-11.077,7.617,0.087,14.508,10.066679954528809,0.129
-85.14143717794764,1.009,0.158,3.592,0.174,3.448,10.069069385528564,0.139
-85.09514489063726,1.001,-1.487,-2.358,0.132,1.628,10.069405317306519,0.106
-84.06821202744345,1.023,1.243,0.687,0.143,-0.157,10.069649457931519,0.113
-84.06821202744345,0.929,-0.017,-0.678,0.165,-0.507,10.06986927986145,0.087
-84.06821202744345,0.99,0.893,-0.503,0.177,0.823,10.070080041885376,0.068
-84.06821202744345,0.996,2.013,1.772,0.13,-0.017,10.070287466049194,0.132
-84.06821202744345,0.96,-0.262,3.697,0.154,1.138,10.070492029190063,0.125
-84.06821202744345,0.994,-0.822,1.842,0.135,1.733,10.070695161819458,0.124
-84.06821202744345,1.016,-1.487,3.312,0.141,2.818,10.070897817611694,0.113
-84.06821202744345,1.017,-1.767,3.172,0.135,2.503,10.071229219436646,0.124
-84.06821202744345,1.013,-2.817,2.227,0.129,2.993,10.577987670898438,0.141
-83.99848522564872,0.869,-2.712,-35.398,0.24,-4.042,10.580445051193237,-0.043
-83.99848522564872,1.116,-9.782,-20.243,0.152,5.863,10.580895900726318,-0.011
-83.99848522564872,0.981,-16.047,2.612,0.231,12.128,10.581153631210327,0.199
-83.99848522564872,0.99,-8.942,-10.618,0.308,20.283,10.581379890441895,0.204
-83.99848522564872,1.077,-3.202,-11.458,0.114,26.793,10.581616401672363,0.136
-83.99848522564872,0.981,-1.732,-16.988,0.202,28.438,10.581827878952026,0.124
-83.99848522564872,0.923,-7.542,-14.363,0.141,31.063,10.58203649520874,0.114
-83.99848522564872,0.872,-7.017,-13.873,0.179,32.253,10.582240104675293,0.128
-83.8465981488502,0.875,-0.892,-15.133,-0.002,32.288,10.582441806793213,0.242
-83.8465981488502,0.921,3.203,-16.603,0.15,28.123,10.582650184631348,0.177
-83.8465981488502,1.001,10.763,-19.543,0.162,25.043,11.082687377929688,0.183
-83.97337913861203,1.011,8.243,-2.463,0.172,-17.902,11.084685325622559,0.061
-83.97337913861203,1.041,6.773,-5.823,0.167,-19.967,11.08510684967041,-0.001
-83.97337913861203,1.005,8.033,-5.298,0.134,-21.612,11.085409879684448,-0.04
-83.97337913861203,0.979,7.858,-1.098,0.156,-22.417,11.085684537887573,0.012
-83.97337913861203,0.98,7.263,-4.213,0.143,-22.522,11.085956811904907,0.025
-83.97337913861203,1.016,6.983,-6.173,0.119,-22.347,11.08623456954956,0.019
-83.97337913861203,1.005,7.858,-7.538,0.119,-21.542,11.08649730682373,-0.021
-83.97337913861203,1.006,9.608,-9.813,0.095,-20.667,11.086760997772217,-0.01
-83.41411992484652,1.045,9.118,-13.838,0.113,-15.907,11.087034225463867,0.03
-83.41411992484652,0.929,8.383,-23.078,0.066,-12.652,11.087306499481201,0.015
-83.41411992484652,0.957,6.843,-26.193,-0.018,-11.847,11.087570905685425,0.034
-83.41411992484652,0.912,7.088,-25.528,-0.031,-12.337,11.54110336303711,0.055
-83.2867003746773,0.975,-7.402,0.232,0.166,1.208,11.54300332069397,-0.035
-83.2867003746773,0.976,-6.877,-1.693,0.191,2.713,11.543347597122192,-0.08
-82.42511016314168,0.964,-4.602,-6.173,0.153,3.378,11.543615341186523,-0.086
-82.42511016314168,0.973,-3.342,-6.558,0.151,3.133,11.543869733810425,-0.085
-82.42511016314168,1.024,-0.402,-4.738,0.157,2.888,11.544092416763306,-0.055
-82.42511016314168,1.064,1.068,-4.318,0.16,2.468,11.544300079345703,-0.016
-82.42511016314168,1.042,2.503,-2.603,0.154,1.523,11.544501781463623,-0.041
-82.42511016314168,1.065,0.368,-0.223,0.162,0.438,11.544706583023071,-0.043
-82.42511016314168,1.009,1.488,3.557,0.115,-0.717,11.544906377792358,-0.058
-82.42511016314168,1.032,2.678,1.317,0.165,-0.997,11.545101642608643,-0.054
-82.42511016314168,0.996,4.218,2.822,0.129,-1.067,12.017461061477661,-0.038
-82.41064819977227,1.042,0.928,-1.868,0.117,-2.222,12.01941728591919,-0.041
-81.77233742473547,1.009,2.223,0.652,0.147,-2.152,12.019842863082886,-0.037
-81.77233742473547,1.021,3.378,-2.113,0.135,-1.802,12.020153760910034,-0.042
-81.77233742473547,0.994,4.428,-0.748,0.118,-1.977,12.020443439483643,-0.058
-81.77233742473547,1.021,2.293,0.337,0.167,-1.697,12.020725011825562,-0.062
-81.77233742473547,0.987,2.188,-0.818,0.127,-2.572,12.020995616912842,-0.049
-81.77233742473547,0.974,0.718,-3.723,0.154,-3.132,12.02127194404602,-0.072
-81.77233742473547,0.992,-7.997,-2.498,0.103,-3.482,12.021549224853516,-0.059
-81.77233742473547,1.009,0.543,-3.828,0.148,-4.882,12.021825551986694,-0.037
-81.77233742473547,1.01,2.363,-10.058,0.082,-6.282,12.022087097167969,-0.053
-81.77233742473547,1.039,3.973,-0.888,0.115,-5.127,12.530278205871582,-0.062
-80.94350279546828,1.073,11.533,17.347,0.129,-0.402,12.532394170761108,-0.077
-80.94350279546828,1.077,13.808,14.652,0.123,-1.802,12.532904386520386,-0.101
-80.94350279546828,1.05,15.103,14.617,0.111,-3.097,12.533243179321289,-0.087
